id,url,title,genres,averageRating,numVotes,releaseYear
tt7738784,https://www.imdb.com/title/tt7738784/,Peranbu,"[""Drama"", ""Family""]",8.7,16830,2018
tt0201368,https://www.imdb.com/title/tt0201368/,"The Broken Landlord","[""Comedy"", ""Drama""]",8.7,16636,1985
tt0214915,https://www.imdb.com/title/tt0214915/,Manichithrathazhu,"[""Comedy"", ""Horror"", ""Mystery""]",8.7,12859,1993
tt8737152,https://www.imdb.com/title/tt8737152/,Toma,"[""Biography"", ""Drama"", ""Music""]",8.7,12645,2021
tt0765833,https://www.imdb.com/title/tt0765833/,"Happy Days","[""Comedy"", ""Drama"", ""Family""]",8.7,12137,1978
tt0090015,https://www.imdb.com/title/tt0090015/,Shoah,"[""Documentary"", ""History"", ""War""]",8.7,10765,1985
tt0114369,https://www.imdb.com/title/tt0114369/,Se7en,"[""Crime"", ""Drama"", ""Mystery""]",8.6,1841525,1995
tt0102926,https://www.imdb.com/title/tt0102926/,"The Silence of the Lambs","[""Crime"", ""Drama"", ""Thriller""]",8.6,1581881,1991
tt0120815,https://www.imdb.com/title/tt0120815/,"Saving Private Ryan","[""Drama"", ""War""]",8.6,1524826,1998
tt0076759,https://www.imdb.com/title/tt0076759/,"Star Wars: Episode IV - A New Hope","[""Action"", ""Adventure"", ""Fantasy""]",8.6,1473631,1977
tt0120689,https://www.imdb.com/title/tt0120689/,"The Green Mile","[""Crime"", ""Drama"", ""Fantasy""]",8.6,1437526,1999
tt0103064,https://www.imdb.com/title/tt0103064/,"Terminator 2: Judgment Day","[""Action"", ""Adventure"", ""Sci-Fi""]",8.6,1197212,1991
tt0245429,https://www.imdb.com/title/tt0245429/,"Spirited Away","[""Adventure"", ""Animation"", ""Family""]",8.6,873679,2001
tt0317248,https://www.imdb.com/title/tt0317248/,"City of God","[""Crime"", ""Drama""]",8.6,815086,2002
tt0118799,https://www.imdb.com/title/tt0118799/,"Life Is Beautiful","[""Comedy"", ""Drama"", ""Romance""]",8.6,755879,1997
tt10811166,https://www.imdb.com/title/tt10811166/,"The Kashmir Files","[""Drama""]",8.6,575236,2022
tt0038650,https://www.imdb.com/title/tt0038650/,"It's a Wonderful Life","[""Drama"", ""Family"", ""Fantasy""]",8.6,506788,1946
tt9362722,https://www.imdb.com/title/tt9362722/,"Spider-Man: Across the Spider-Verse","[""Action"", ""Adventure"", ""Animation""]",8.6,406713,2023
tt0047478,https://www.imdb.com/title/tt0047478/,"Seven Samurai","[""Action"", ""Drama""]",8.6,373031,1954
tt0056058,https://www.imdb.com/title/tt0056058/,Harakiri,"[""Action"", ""Drama"", ""Mystery""]",8.6,72191,1962
tt0367495,https://www.imdb.com/title/tt0367495/,"Anbe Sivam","[""Adventure"", ""Comedy"", ""Drama""]",8.6,25990,2003
tt0358456,https://www.imdb.com/title/tt0358456/,Earthlings,"[""Documentary""]",8.6,19958,2005
tt0252489,https://www.imdb.com/title/tt0252489/,"The Chaos Class Is on Vacation","[""Comedy""]",8.6,19099,1977
tt0116860,https://www.imdb.com/title/tt0116860/,"Pretty Village, Pretty Flame","[""Drama"", ""History"", ""War""]",8.6,18019,1996
tt0271383,https://www.imdb.com/title/tt0271383/,"A Dog's Will","[""Comedy"", ""Drama"", ""Fantasy""]",8.6,17482,2000
tt4139928,https://www.imdb.com/title/tt4139928/,"The Legend of Maula Jatt","[""Action"", ""Drama"", ""Fantasy""]",8.6,10840,2022
tt0267351,https://www.imdb.com/title/tt0267351/,"My Dear Brother","[""Drama""]",8.6,10455,1973
tt1853728,https://www.imdb.com/title/tt1853728/,"Django Unchained","[""Comedy"", ""Drama"", ""Western""]",8.5,1733100,2012
tt0172495,https://www.imdb.com/title/tt0172495/,Gladiator,"[""Action"", ""Adventure"", ""Drama""]",8.5,1662661,2000
tt0482571,https://www.imdb.com/title/tt0482571/,"The Prestige","[""Drama"", ""Mystery"", ""Sci-Fi""]",8.5,1470110,2006
tt0407887,https://www.imdb.com/title/tt0407887/,"The Departed","[""Crime"", ""Drama"", ""Thriller""]",8.5,1447446,2006
tt0088763,https://www.imdb.com/title/tt0088763/,"Back to the Future","[""Adventure"", ""Comedy"", ""Sci-Fi""]",8.5,1336406,1985
tt0110413,https://www.imdb.com/title/tt0110413/,"Léon: The Professional","[""Action"", ""Crime"", ""Drama""]",8.5,1268970,1994
tt0120586,https://www.imdb.com/title/tt0120586/,"American History X","[""Crime"", ""Drama""]",8.5,1204532,1998
tt0110357,https://www.imdb.com/title/tt0110357/,"The Lion King","[""Adventure"", ""Animation"", ""Drama""]",8.5,1166056,1994
tt0114814,https://www.imdb.com/title/tt0114814/,"The Usual Suspects","[""Crime"", ""Drama"", ""Mystery""]",8.5,1162407,1995
tt2582802,https://www.imdb.com/title/tt2582802/,Whiplash,"[""Drama"", ""Music""]",8.5,1022221,2014
tt6751668,https://www.imdb.com/title/tt6751668/,Parasite,"[""Drama"", ""Thriller""]",8.5,998021,2019
tt0078748,https://www.imdb.com/title/tt0078748/,Alien,"[""Horror"", ""Sci-Fi""]",8.5,983797,1979
tt1675434,https://www.imdb.com/title/tt1675434/,"The Intouchables","[""Comedy"", ""Drama""]",8.5,947857,2011
tt0253474,https://www.imdb.com/title/tt0253474/,"The Pianist","[""Biography"", ""Drama"", ""Music""]",8.5,933937,2002
tt0054215,https://www.imdb.com/title/tt0054215/,Psycho,"[""Horror"", ""Mystery"", ""Thriller""]",8.5,732099,1960
tt0034583,https://www.imdb.com/title/tt0034583/,Casablanca,"[""Drama"", ""Romance"", ""War""]",8.5,615158,1942
tt0047396,https://www.imdb.com/title/tt0047396/,"Rear Window","[""Mystery"", ""Thriller""]",8.5,531748,1954
tt15239678,https://www.imdb.com/title/tt15239678/,"Dune: Part Two","[""Action"", ""Adventure"", ""Drama""]",8.5,526796,2024
tt0064116,https://www.imdb.com/title/tt0064116/,"Once Upon a Time in the West","[""Drama"", ""Western""]",8.5,354470,1968
